n_rff_features,seed,train_acc,test_acc,duration_calcul_rff_features,duration_train
10,42,0.9086,0.8979,0.05,15.67
10,47,0.907,0.8959,0.04,19.67
10,53,0.9054,0.8938,0.08,24.95
10,59,0.9063,0.8964,0.06,23.07
10,67,0.9056,0.8964,0.06,21.06
20,42,0.9089,0.8971,0.05,21.74
20,47,0.9068,0.8964,0.07,22.63
20,53,0.9057,0.8958,0.09,26.93
20,59,0.9078,0.8957,0.06,22.95
20,67,0.9078,0.8991,0.05,19.64
30,42,0.9058,0.8964,0.06,21.82
30,47,0.908,0.8982,0.05,24.15
30,53,0.9076,0.8951,0.06,24.47
30,59,0.9072,0.8962,0.05,23.02
30,67,0.9092,0.8966,0.04,21.17
120,42,0.9125,0.8983,0.23,29.0
120,47,0.9132,0.9011,0.1,24.31
120,53,0.9127,0.8973,0.1,25.61
120,59,0.913,0.8972,0.13,24.84
120,67,0.9152,0.9014,0.1,23.96
220,42,0.9281,0.9099,0.16,28.03
220,47,0.9267,0.9101,0.16,39.9
220,53,0.9295,0.9139,0.15,29.97
220,59,0.9225,0.9079,0.16,26.64
220,67,0.93,0.9119,0.15,29.04
364,42,0.9414,0.9254,0.32,41.77
364,47,0.9401,0.9242,0.25,34.01
364,53,0.9387,0.9232,0.23,35.96
364,59,0.9404,0.924,0.25,32.05
364,67,0.9397,0.9257,0.36,34.8
560,42,0.9473,0.9269,0.43,41.02
560,47,0.9467,0.9292,0.35,40.95
560,53,0.9464,0.9281,0.33,39.45
560,59,0.9466,0.9298,0.4,34.83
560,67,0.9472,0.9258,0.36,35.83
1140,42,0.9573,0.9326,0.76,43.96
1140,47,0.9569,0.9314,1.3,57.88
1140,53,0.9582,0.9321,0.8,42.35
1140,59,0.958,0.9321,0.84,41.74
1140,67,0.9573,0.9317,0.8,42.8
2024,42,0.9671,0.9357,1.46,44.96
2024,47,0.9677,0.9358,2.18,46.35
2024,53,0.9669,0.9353,1.37,39.67
2024,59,0.9674,0.935,1.46,42.12
2024,67,0.9667,0.9367,1.56,35.04
4060,42,0.981,0.935,3.06,50.0
4060,47,0.9804,0.9368,2.96,47.24
4060,53,0.9809,0.9368,2.77,44.2
4060,59,0.9813,0.939,3.11,48.23
4060,67,0.9812,0.9385,2.88,48.68
4960,42,0.985,0.9403,4.19,55.58
4960,47,0.9846,0.9353,3.55,49.31
4960,53,0.9846,0.9341,3.45,50.88
4960,59,0.9849,0.9347,3.47,50.67
4960,67,0.9843,0.9376,3.59,50.3
9880,42,0.9942,0.936,7.0,89.78
9880,47,0.9941,0.9353,7.33,110.88
9880,53,0.9936,0.9385,6.8,87.96
9880,59,0.9936,0.9367,6.77,79.2
9880,67,0.9936,0.9395,7.05,80.74
